model_family,model_id,prompt_policy,n,ok_rate,admissibility_accuracy,answer_attempt_on_insufficient_rate,insufficient_like_rate,format_compliance_rate,mean_latency_seconds,total_prompt_tokens,total_completion_tokens,total_tokens,original_admissibility_accuracy,original_answer_attempt_rate,admissibility_lift_vs_original,answer_attempt_reduction_vs_original
anthropic_frontier,anthropic/claude-sonnet-4.6,admissibility_rule_only,360,1.0,0.7666666666666667,0.23333333333333334,1.0,1.0,2.576172587606642,83116,26495,109611,0.0,1.0,0.7666666666666667,0.7666666666666666
anthropic_frontier,anthropic/claude-sonnet-4.6,choices_not_evidence_only,360,1.0,0.6333333333333333,0.36666666666666664,1.0,1.0,2.7188144498401217,76276,29284,105560,0.0,1.0,0.6333333333333333,0.6333333333333333
anthropic_frontier,anthropic/claude-sonnet-4.6,full_boundary_wrapper,360,1.0,0.9527777777777777,0.04722222222222222,1.0,1.0,2.3254377596908147,104356,21873,126229,0.0,1.0,0.9527777777777777,0.9527777777777777
anthropic_frontier,anthropic/claude-sonnet-4.6,original_mc,360,1.0,0.0,1.0,0.0,0.0,1.2848601910803052,60528,2556,63084,0.0,1.0,0.0,0.0
anthropic_frontier,anthropic/claude-sonnet-4.6,selected_status_only,360,1.0,0.8222222222222222,0.17777777777777778,0.9972222222222222,1.0,2.542993179957072,59356,24465,83821,0.0,1.0,0.8222222222222222,0.8222222222222222
anthropic_frontier,anthropic/claude-sonnet-4.6,source_id_only,360,1.0,0.7666666666666667,0.23333333333333334,0.9555555555555556,1.0,2.510219590531455,55756,25118,80874,0.0,1.0,0.7666666666666667,0.7666666666666666
google_frontier,google/gemini-3.1-pro-preview,admissibility_rule_only,360,1.0,0.8583333333333333,0.1361111111111111,0.8583333333333333,0.8611111111111112,3.514414206478331,77137,56475,133612,0.0,1.0,0.8583333333333333,0.8638888888888889
google_frontier,google/gemini-3.1-pro-preview,choices_not_evidence_only,360,1.0,0.8277777777777777,0.16944444444444445,0.8277777777777777,0.8277777777777777,4.155839688248104,72458,55798,128256,0.0,1.0,0.8277777777777777,0.8305555555555555
google_frontier,google/gemini-3.1-pro-preview,full_boundary_wrapper,360,1.0,0.9361111111111111,0.06388888888888888,0.9361111111111111,0.9361111111111111,3.634428032239278,97659,52641,150300,0.0,1.0,0.9361111111111111,0.9361111111111111
google_frontier,google/gemini-3.1-pro-preview,original_mc,360,1.0,0.0,1.0,0.0,0.6833333333333333,3.582652747631073,56622,62188,118810,0.0,1.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,selected_status_only,360,1.0,0.95,0.05,0.95,0.9555555555555556,3.4663338436020745,54818,47957,102775,0.0,1.0,0.95,0.95
google_frontier,google/gemini-3.1-pro-preview,source_id_only,360,1.0,0.8861111111111111,0.11388888888888889,0.8861111111111111,0.9444444444444444,3.5581087754832375,51579,51365,102944,0.0,1.0,0.8861111111111111,0.8861111111111111
openai_frontier,openai/gpt-5.1,admissibility_rule_only,360,1.0,0.9416666666666667,0.058333333333333334,0.9416666666666667,1.0,1.0412709275881449,72186,5697,77883,0.0,1.0,0.9416666666666667,0.9416666666666667
openai_frontier,openai/gpt-5.1,choices_not_evidence_only,360,1.0,0.8583333333333333,0.14166666666666666,0.8583333333333333,1.0,0.9632403817441728,67506,5607,73113,0.0,1.0,0.8583333333333333,0.8583333333333334
openai_frontier,openai/gpt-5.1,full_boundary_wrapper,360,1.0,1.0,0.0,1.0,1.0,0.9797323332892524,90906,5760,96666,0.0,1.0,1.0,1.0
openai_frontier,openai/gpt-5.1,original_mc,360,1.0,0.0,1.0,0.0,0.0,0.924897266096539,51354,4896,56250,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,selected_status_only,360,1.0,0.8305555555555556,0.16944444444444445,0.8305555555555556,1.0,0.9121438364187876,50946,5577,56523,0.0,1.0,0.8305555555555556,0.8305555555555555
openai_frontier,openai/gpt-5.1,source_id_only,360,1.0,0.7388888888888889,0.2611111111111111,0.7388888888888889,1.0,0.9244407640563117,48066,5478,53544,0.0,1.0,0.7388888888888889,0.7388888888888889
